1.865758325284756491e-01,2.965458349450085795e-01,7.937628239855455681e-02,1.711090634579290892e-01,9.274804764487427911e-02,5.541000326925406977e-02,6.929635534177944201e-02,1.574492431958835759e-01
7.689713775345460856e-02,4.166760510487495933e-02,1.470240255659925055e-01,1.444298281314888022e-01,1.992221690915894350e-01,8.628329585599943397e-02,4.628729334619426095e-02,9.796579050054680105e-01
3.442141082461878249e-02,3.351049533649169687e-02,6.519557973470424539e-02,1.387453495955122407e-01,8.190188311411411570e-02,5.668858688757313913e-02,4.133886546105325355e-02,1.242543707531067465e-01
8.579467805781867962e-02,5.340789552202305362e-02,1.190095654843234124e-01,6.528778268180505939e-02,4.814957586449776505e-02,4.325427009614773305e-02,1.894196101248528663e-01,1.343265265378766338e-01
2.428663166539778706e-01,4.080680251965167205e-02,4.153498461445468554e-02,5.496166483599633501e-02,4.488457267253635752e-02,2.090137184564697451e-02,8.792905518302661372e-02,2.610731195546281969e-01
2.351335896278957394e-01,5.546664484274621554e-02,8.592095627811184577e-02,4.613232754886993359e-01,6.931199404441934497e-02,1.619067453679318980e-01,4.578461776809832073e-02,1.348821064157489091e-01
4.761522144020133296e-02,2.580903278679790858e-01,4.131422770137595929e-02,6.295921786516792129e-02,5.331097405982134635e-02,5.304077231548075949e-02,3.317271465689879822e-02,1.683020337070003092e-01
8.270942481489505782e-02,1.253936854695772429e-01,2.895867154209513239e-01,5.284423963308708672e-01,7.371520647211279864e-02,1.519522105802359191e-01,7.757235417561444968e-02,7.043927833325708265e-01
3.799732687673464809e-02,7.345059555484606539e-02,2.631514339952307352e-02,1.291866258711143745e-01,8.122161946831216173e-02,3.530238140186854612e-02,3.306895990256301932e-02,2.505959702455778371e-01
7.151379927696246974e-02,2.689282107251267373e-01,7.905624553501952589e-02,2.290087585512723956e-01,1.674824676829686776e-01,2.410528260582173177e-02,5.685627438580101445e-02,1.133974027264299800e-01
8.550978125375625905e-02,3.938804977642661465e-01,6.761364350317369265e-01,7.863700428821387423e-01,5.935185758209227114e-02,2.749494817216666109e-02,2.724922115030606329e-01,3.013393905574562881e-01
1.657141658731874634e-01,5.278097579679082163e-02,2.250933570506756243e-01,1.035121312186107201e-01,1.283820645781381664e-01,6.679461572446566964e-02,8.781759624295891464e-02,3.848922203586557234e-01
4.429843787017315182e-02,2.136276929374488209e-01,2.114495266328300094e-01,2.613093870659222717e-01,2.035166877667413110e-02,1.814950871342083383e-01,5.667200534748467744e-02,4.884898137906047433e-01
1.060399158814317871e-01,1.177034028644712571e-01,3.424408057162674907e-02,4.277385503255688032e-02,2.856397071374389141e-01,3.687242358026251304e-02,3.493642670368503345e-02,3.780483141977861727e-01
1.796289938708086342e-01,2.176936337971157459e-02,1.872608295804650547e-01,1.202477631134006159e-01,5.887524615490379726e-02,1.853664245500032115e-02,6.008030266405342545e-02,5.336301343058549307e-01
1.887598222721567076e-01,1.459535675841696842e-02,1.238455162380065616e-01,1.323242302434289863e-01,2.597433899437004978e-01,9.529823469246560819e-02,7.328905948164349260e-02,7.035191548564537212e-02
